epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1834.27,1.31649,1.04865,1.18291,0.63702,0.82874,0.79067,0.5094,1.3423,1.01683,1.27578,0.0083665,0.0083665,0.0083665
68,1862.06,1.31645,1.03597,1.18835,0.6091,0.88826,0.77403,0.49654,1.336,1.00204,1.27215,0.00834175,0.00834175,0.00834175
69,1890.35,1.30969,1.03075,1.18401,0.59256,0.88274,0.78513,0.50536,1.33948,1.00845,1.26244,0.008317,0.008317,0.008317
70,1918.31,1.30085,1.02021,1.17193,0.59591,0.86827,0.77205,0.49956,1.34397,1.02072,1.26748,0.00829225,0.00829225,0.00829225
71,1946.09,1.30907,1.01892,1.18508,0.61936,0.84861,0.78633,0.49943,1.3426,1.005,1.27079,0.0082675,0.0082675,0.0082675
72,1973.14,1.30137,1.01443,1.1843,0.67282,0.77407,0.7921,0.50394,1.34413,0.99491,1.27566,0.00824275,0.00824275,0.00824275
73,2000.07,1.31873,1.0406,1.19302,0.63683,0.83672,0.79448,0.51028,1.35015,1.033,1.28647,0.008218,0.008218,0.008218
74,2027.25,1.30675,1.01639,1.1823,0.61068,0.87829,0.78137,0.5084,1.33976,1.05671,1.27427,0.00819325,0.00819325,0.00819325
75,2055.04,1.28965,1.01168,1.17332,0.64709,0.85292,0.80025,0.50908,1.35498,0.99483,1.27385,0.0081685,0.0081685,0.0081685
76,2083.25,1.31715,1.00842,1.18058,0.64169,0.85179,0.79591,0.5051,1.36606,1.02553,1.2857,0.00814375,0.00814375,0.00814375
77,2112.73,1.30632,1.01459,1.17719,0.63273,0.84531,0.79413,0.51477,1.32497,0.98213,1.27074,0.008119,0.008119,0.008119
78,2141.3,1.29289,1.00985,1.17838,0.63393,0.8552,0.80942,0.51712,1.33639,0.97476,1.26377,0.00809425,0.00809425,0.00809425
79,2169.94,1.29656,1.0185,1.18308,0.63196,0.83531,0.80552,0.50833,1.35003,1.00905,1.27475,0.0080695,0.0080695,0.0080695
80,2199,1.29605,0.99834,1.17626,0.64332,0.84679,0.79681,0.51261,1.36187,1.00235,1.28138,0.00804475,0.00804475,0.00804475
81,2227.59,1.30649,0.99456,1.17581,0.62558,0.79978,0.78137,0.49693,1.35464,1.04526,1.28008,0.00802,0.00802,0.00802
82,2256.38,1.28767,0.99444,1.17962,0.65861,0.80773,0.80613,0.51294,1.36253,0.99198,1.281,0.00799525,0.00799525,0.00799525
83,2284.77,1.30051,1.00347,1.17938,0.63173,0.84621,0.79821,0.51195,1.34912,0.99014,1.27571,0.0079705,0.0079705,0.0079705
84,2313.96,1.2732,0.99597,1.15955,0.64031,0.83801,0.80148,0.51402,1.34358,0.97524,1.27502,0.00794575,0.00794575,0.00794575
85,2342.73,1.26942,0.98638,1.16809,0.62911,0.83675,0.8057,0.51544,1.35067,0.98158,1.2755,0.007921,0.007921,0.007921
86,2371.45,1.26932,0.98052,1.16499,0.60706,0.87721,0.7936,0.51057,1.33565,1.02301,1.27255,0.00789625,0.00789625,0.00789625
87,2400.37,1.28554,0.98699,1.17211,0.60603,0.88217,0.7928,0.51302,1.33399,0.98421,1.26673,0.0078715,0.0078715,0.0078715
88,2428.38,1.29596,0.99981,1.17751,0.60832,0.86879,0.78118,0.49541,1.33934,1.00636,1.26916,0.00784675,0.00784675,0.00784675
89,2456.21,1.29735,0.99618,1.17815,0.64685,0.78697,0.79184,0.50383,1.34514,1.00377,1.2704,0.007822,0.007822,0.007822
90,2483.84,1.27784,0.97202,1.18041,0.61251,0.86189,0.79382,0.51057,1.3431,0.98135,1.27161,0.00779725,0.00779725,0.00779725
91,2514.04,1.27517,0.99499,1.17131,0.61491,0.85125,0.79171,0.51768,1.32308,0.98881,1.26365,0.0077725,0.0077725,0.0077725
92,2543.52,1.27864,0.99184,1.1606,0.65973,0.82305,0.78932,0.50368,1.35284,0.99612,1.28198,0.00774775,0.00774775,0.00774775
93,2573.81,1.27614,0.99851,1.17027,0.61838,0.84054,0.79411,0.50834,1.32415,0.97967,1.25983,0.007723,0.007723,0.007723
